area,single,"married, no kids","not married, no kids","married, with kids","not married, with kids",single parent,other,total,stadsdeel,m2,wd,dist,woz-value per m2
N70f Marjoleinterrein,66.0,9.0,20.0,38.0,11.0,9.0,1.0,154.0,6,89.50357426528991,244.00813640865994,0.025874635988991833,2518.0
N71c Papaverweg e.o.,74.0,13.0,17.0,26.0,11.0,11.0,2.0,154.0,6,83.57613884316903,346.0210349294119,0.019189207619457797,3125.301047120419
N71e Cornelis Douwesterrein,16.0,93.62700228832952,117.13073394495413,120.07476635514018,1.0,1.0,15.697732997481108,364.53023558590496,6,83.57613884316903,110.58795484973494,0.03769433946924461,3125.301047120419
N71f NDSM terrein,368.0,93.62700228832952,14.0,120.07476635514018,50.81190476190476,4.0,1.0,651.5136734053744,6,24.69957310565635,259.08776436525125,0.025365985812501515,1874.0
N71g Buiksloterham,15.0,2.0,3.0,120.07476635514018,50.81190476190476,95.27446300715991,1.0,287.16113412420486,6,83.57613884316903,380.76449042679405,0.01748650318253019,3125.301047120419
N71h Overhoeks,148.0,113.0,82.0,46.0,36.0,33.0,4.0,462.0,6,115.75428571428571,480.4528414842551,0.010686286861674391,3675.0
N72a Bedrijventerrein Hamerstraat,43.0,9.0,22.0,3.0,3.0,3.0,3.0,86.0,6,83.57613884316903,493.9547082321951,0.00889932824445518,3125.301047120419
N72b Zamenhofstraat e.o.,4.0,93.62700228832952,117.13073394495413,120.07476635514018,50.81190476190476,95.27446300715991,15.697732997481108,496.61660335496964,6,83.57613884316903,455.6490949265818,0.009947352929929931,3125.301047120419
N72c Bedrijventerrein Nieuwendammerdijk,2.0,3.0,1.0,120.07476635514018,50.81190476190476,1.0,1.0,178.88667111704495,6,83.57613884316903,426.037242437766,0.009890534943698523,3125.301047120419
N73a Schellingwoude West,10.0,4.0,5.0,4.0,5.0,5.0,1.0,34.0,6,83.57613884316903,392.3513731210066,0.01008367088961209,3125.301047120419
N73b Schellingwoude Oost,80.0,46.0,22.0,61.0,25.0,20.0,3.0,257.0,6,123.11636363636363,368.8079263314865,0.00970793403626778,3300.0
N73c Schellingwoude Noord,523.3676148796499,1.0,117.13073394495413,1.0,50.81190476190476,95.27446300715991,15.697732997481108,804.2824495911498,6,83.57613884316903,268.0347389274091,0.012355679796049918,3125.301047120419
N73d Durgerdam,58.0,48.0,16.0,52.0,19.0,13.0,4.0,210.0,6,124.2355,12.99501474894145,1.0103878917538003,4000.0
N73e Zwarte Gouw,523.3676148796499,2.0,117.13073394495413,1.0,1.0,95.27446300715991,15.697732997481108,755.470544829245,6,83.57613884316903,244.2231008696977,0.015028935720885253,3125.301047120419
N73f Ransdorp,41.0,35.0,5.0,29.0,11.0,8.0,15.697732997481108,144.6977329974811,6,131.40483467629898,7.141372141372141,1.0105350076743025,3599.0
N73g Holysloot,29.0,22.0,9.0,34.0,6.0,9.0,1.0,110.0,6,124.13508005822416,7.482328482328482,1.0132043370874457,3435.0
N73h Zunderdorp,76.0,53.0,14.0,38.0,12.0,8.0,15.697732997481108,216.6977329974811,6,122.19796040791842,58.23555311251646,0.036584803463870066,3334.0
